scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_16_53_37_ncb1046-camB,img00033.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img01565.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img03504.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img04366.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img04857.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img05129.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img05486.png,,,,,,,,,415.6648522550545,302.7067807153966,426.2371695178849,289.2511041990669
labeled-data,mj_16_53_37_ncb1046-camB,img05830.png,,,,,,,,,407.9758942457232,252.72855365474342,403.17029548989115,268.10646967340597
labeled-data,mj_16_53_37_ncb1046-camB,img06175.png,,,,,,,,,,,,
labeled-data,mj_16_53_37_ncb1046-camB,img07846.png,396.9299221800218,304.4028498579055,398.76827972696606,314.51381636609915,,,,,415.3134976494648,299.8069559905448,,
labeled-data,mj_16_53_37_ncb1046-camB,img07849.png,398.76827972696606,304.4028498579055,397.8491009534939,315.43299513957135,396.9299221800218,320.0288890069321,400.60663727391045,325.54396164776506,413.4751401025205,305.32202863137763,425.4244641576586,292.45352580276756
labeled-data,mj_16_53_37_ncb1046-camB,img07853.png,403.36417359432687,292.45352580276756,415.3134976494648,301.6453135374891,407.04088868821543,313.594637592627,402.44499482085473,323.7056041008207,407.04088868821543,300.72613476401693,,
labeled-data,mj_16_53_37_ncb1046-camB,img07856.png,351.89016227988634,310.8371012722106,374.8696316166902,322.7864253273485,389.57649199224454,322.7864253273485,,,393.2532070861332,292.45352580276756,411.63678255557625,284.1809168415182
