scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_17_39_29_ncb1398-L-camB,img00107.png,401.18028079132114,295.5896904913849,399.10976388002564,310.7734811742183,403.2507977026165,323.1965826419911,,,410.1525207402681,294.8995181876197,414.2935545628591,285.92727823867267
labeled-data,mj_17_39_29_ncb1398-L-camB,img00108.png,385.9964901084876,296.97003509891516,392.89821314613926,310.08330887045315,404.63114231014686,316.9850319081047,410.1525207402681,320.4358934269305,406.0114869176772,292.8290012763242,414.2935545628591,287.307622846203
labeled-data,mj_17_39_29_ncb1398-L-camB,img00109.png,387.3768347160179,299.0405520102106,397.7294192724953,308.7029642629228,408.77217613273785,315.6046873005743,417.7444160816848,317.67520421186987,410.1525207402681,295.5896904913849,412.91320995532874,287.99779514996817
labeled-data,mj_17_39_29_ncb1398-L-camB,img00110.png,385.9964901084876,305.9422750478622,393.5883854499043,312.15382578174865,406.0114869176772,314.9145149968092,414.2935545628591,316.29485960433954,407.3918315252075,295.5896904913849,409.462348436503,283.166589023612
labeled-data,mj_17_39_29_ncb1398-L-camB,img00111.png,385.9964901084876,308.01279195915765,400.490108487556,319.74572112316537,412.91320995532874,323.88675494575625,,,407.3918315252075,299.0405520102106,408.0820038289727,290.0683120612636
labeled-data,mj_17_39_29_ncb1398-L-camB,img00112.png,379.09476707083604,310.7734811742183,383.23580089342704,319.0555488194002,399.7999361837908,326.6474441608169,410.84269304403324,328.02778876834725,399.7999361837908,308.01279195915765,401.8704530950862,298.3503797064455
labeled-data,mj_17_39_29_ncb1398-L-camB,img00113.png,370.8126994256543,318.36537651563503,376.3340778557755,332.16882259093813,397.03924696873014,339.0705456285897,409.462348436503,333.54916719846847,397.7294192724953,309.393136566688,400.490108487556,296.27986279515005
labeled-data,mj_17_39_29_ncb1398-L-camB,img00114.png,366.6716656030633,314.9145149968092,371.5028717294193,341.1410625398852,394.96873005743464,343.2115794511807,412.2230376515636,333.54916719846847,391.5178685386089,312.15382578174865,397.03924696873014,299.73072431397577
