scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_15_51_02_ncb1283-L-camC,img00787.png,,,96.62621352303023,206.95782428329073,92.55476356793594,215.68235990134997,112.91201334340747,231.96815972172718,122.79982037720788,212.19254565412626,136.75907736610264,216.84563131709118
labeled-data,mj_15_51_02_ncb1283-L-camC,img00791.png,,,104.18747772534823,209.86600282264382,104.18747772534823,216.2639956092206,121.05491325359606,231.96815972172718,122.21818466933723,211.61090994625567,133.85089882674959,215.10072419347935
labeled-data,mj_15_51_02_ncb1283-L-camC,img00798.png,,,125.707998916561,220.33544556431488,125.707998916561,226.15180264302103,140.24889161332635,228.47834547450347,136.75907736610264,218.0089027328324,147.2285201077737,218.59053844070303
labeled-data,mj_15_51_02_ncb1283-L-camC,img01059.png,,,66.38115671375829,206.37618857542014,65.21788529801705,211.61090994625565,82.08532082626488,213.93745277773812,84.41186365774735,198.81492437310214,97.78948493877147,197.6516529573609
labeled-data,mj_15_51_02_ncb1283-L-camC,img01062.png,,,79.7587779947824,205.7945528675495,78.01387087117058,212.19254565412626,94.8813063994184,212.77418136199688,96.62621352303023,202.30473862032585,110.585470511925,201.7231029124552
labeled-data,mj_15_51_02_ncb1283-L-camC,img01066.png,,,98.37112064664211,206.95782428329073,95.462942107289,214.51908848560873,112.33037763553682,215.10072419347935,114.0752847591487,204.04964574393767,126.28963462443159,201.14146720458461
labeled-data,mj_15_51_02_ncb1283-L-camC,img01077.png,,,101.86093489386576,208.12109569903197,102.4425706017364,213.93745277773812,121.05491325359606,225.5701669351504,119.31000612998423,205.7945528675495,130.36108457952588,202.88637432819644
labeled-data,mj_15_51_02_ncb1283-L-camC,img01120.png,,,120.47327754572547,205.2129171596789,118.72837042211358,209.2843671147732,122.79982037720788,213.93745277773812,136.75907736610264,206.95782428329073,151.299970062868,202.88637432819644
