scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_18_12_46_ncb1052-camC,img00387.png,215.91410470480224,217.68072628817788,218.60158110951664,221.43788004455487,221.4142033760129,224.89694942777842,226.3656287224723,229.54310607910156,235.5279083251953,224.4585079022971,248.7691253612802,229.39714912853452
labeled-data,mj_18_12_46_ncb1052-camC,img00557.png,,,,,,,,,,,,
labeled-data,mj_18_12_46_ncb1052-camC,img02265.png,233.05517551805926,306.62442553993776,235.59530158564627,307.8700947124538,239.05254405327406,309.0168473189719,244.27224919349075,306.1868200443679,247.21498506366498,294.51118453929973,255.47860980964163,286.6659356830871
labeled-data,mj_18_12_46_ncb1052-camC,img02422.png,99.75413513183594,194.88401794433594,95.6292953491211,203.26919555664062,102.87239837646484,207.93173217773438,117.41036224365234,209.778076171875,130.2427978515625,194.7099151611328,155.0635528564453,196.65081787109375
labeled-data,mj_18_12_46_ncb1052-camC,img03721.png,179.95697021484375,207.95103454589844,183.35263061523438,209.2554931640625,184.2902374267578,209.31790161132812,193.196044921875,213.67970275878906,206.11849975585938,200.99322509765625,223.07302561430134,206.7195587158203
labeled-data,mj_18_12_46_ncb1052-camC,img04206.png,,,,,,,,,,,,
labeled-data,mj_18_12_46_ncb1052-camC,img05328.png,124.92263241586224,207.5901570573204,123.67269696603087,213.69100952148438,126.15132351693644,215.7812042236328,133.641841685968,216.13451937857138,140.91015625,202.2802734375,160.3960723876953,204.75953674316406
labeled-data,mj_18_12_46_ncb1052-camC,img05353.png,192.18450927734375,214.7467498779297,194.9852294921875,217.50064086914062,200.14544677734375,218.90847778320312,206.27275162188204,219.20721214230656,218.39846801757812,210.5928497314453,237.48497009277344,214.62698364257812
labeled-data,mj_18_12_46_ncb1052-camC,img05642.png,,,,,,,,,,,,
