scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_15_51_51_ncb1131-camB,img00205.png,431.547862156988,264.1972032546267,426.0264837268667,277.3104770261647,421.8854499042758,285.59254467134656,417.05424377791974,290.4237507977026,413.6033822590939,269.0284093809828,402.56062539885136,258.6758248245054
labeled-data,mj_15_51_51_ncb1131-camB,img00206.png,442.59061901723044,275.93013241863434,437.7594128908744,292.4942677089981,432.92820676451834,296.63530153158905,423.9559668155713,298.7058184428845,425.3363114231016,275.93013241863434,414.2935545628591,264.1972032546267
labeled-data,mj_15_51_51_ncb1131-camB,img00207.png,462.60561582642003,292.4942677089981,459.84492661135937,318.0306429483089,444.66113592852594,327.002882897256,429.4773452456925,323.55202137843014,439.8299298021699,295.2549569240588,428.78717294192734,278.00064932992984
labeled-data,mj_15_51_51_ncb1131-camB,img00208.png,477.78940650925347,305.60754148053604,470.8876834716019,330.4537444160817,459.84492661135937,334.5947782386727,,,441.2102744097002,297.3254738353542,423.9559668155713,284.9023723675814
labeled-data,mj_15_51_51_ncb1131-camB,img00210.png,458.46458200382904,318.7208152520741,447.4218251435866,325.62253828972564,432.23803446075317,333.9046059349075,,,433.6183790682834,302.1566799617103,430.85768985322284,286.9728892788769
labeled-data,mj_15_51_51_ncb1131-camB,img00213.png,447.4218251435866,306.2977137843012,446.04148053605627,313.1994368219528,441.2102744097002,329.7635721123165,429.4773452456925,331.834089023612,415.6738991703894,304.91736917677093,423.9559668155713,291.1139231014678
labeled-data,mj_15_51_51_ncb1131-camB,img00220.png,406.70165922144236,292.4942677089981,416.36407147415457,295.2549569240588,420.50510529674546,295.9451292278239,425.3363114231016,297.3254738353542,403.2507977026165,307.67805839183154,,
labeled-data,mj_15_51_51_ncb1131-camB,img00223.png,419.1247606892151,287.663061582642,423.2657945118061,287.663061582642,425.3363114231016,294.5647846202936,425.3363114231016,302.1566799617103,403.9409700063817,300.77633535418,390.82769623484376,303.5370245692406
