scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_17_41_11_ncb1280-R-camB,img01826.png,506.77664326739,298.7058184428845,512.2980216975113,327.002882897256,504.7061263560946,338.7358120612636,455.0137204850033,340.1161566687939,462.60561582642003,305.60754148053604,439.8299298021699,291.80409540523294
labeled-data,mj_17_41_11_ncb1280-R-camB,img01827.png,504.01595405232945,320.10115985960437,,,,,,,447.4218251435866,322.1716767708998,428.09700063816217,305.60754148053604
labeled-data,mj_17_41_11_ncb1280-R-camB,img01828.png,498.4945756222081,334.5947782386727,,,,,,,443.2807913209956,323.55202137843014,419.1247606892151,313.8896091257179
labeled-data,mj_17_41_11_ncb1280-R-camB,img01829.png,488.14199106573085,335.2849505424378,,,,,,,437.7594128908744,330.4537444160817,417.05424377791974,315.9601260370134
labeled-data,mj_17_41_11_ncb1280-R-camB,img01830.png,480.55009572431413,338.0456397574984,,,,,,,433.6183790682834,329.0733998085514,410.84269304403324,318.7208152520741
labeled-data,mj_17_41_11_ncb1280-R-camB,img01831.png,479.85992342054897,334.5947782386727,,,,,,,426.71665603063184,329.7635721123165,410.1525207402681,316.6502983407786
labeled-data,mj_17_41_11_ncb1280-R-camB,img01832.png,481.2402680280793,330.4537444160817,,,,,,,423.9559668155713,324.9323659859605,401.18028079132114,309.0584029993619
labeled-data,mj_17_41_11_ncb1280-R-camB,img01833.png,469.5073388640716,326.3127105934908,,,,,,,421.1952776005106,323.55202137843014,404.63114231014686,307.67805839183154
labeled-data,mj_17_41_11_ncb1280-R-camB,img01834.png,469.5073388640716,319.4109875558392,459.1547543075942,340.1161566687939,416.36407147415457,319.4109875558392,396.349074664965,306.9878860880664,,,,
