scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_15_51_51_ncb1131-camA,img00205.png,231.56569774901277,156.35551769854726,239.12696195133083,163.33514619299467,235.63714770410706,169.1515032717008,220.51461929947118,173.80458893466573,214.69826222076506,160.42696765364155,197.24919098464653,158.68206053002967
labeled-data,mj_15_51_51_ncb1131-camA,img00206.png,237.96369053558954,159.26369623790032,238.54532624346018,166.24332473234767,232.72896916475395,173.80458893466567,222.259526423083,177.29440318188938,212.953355097153,163.33514619299456,194.34101244529353,160.42696765364155
labeled-data,mj_15_51_51_ncb1131-camA,img00207.png,230.98406204114224,161.00860336151214,235.63714770410718,165.66168902447708,237.3820548277189,173.80458893466567,237.382054827719,181.94748884485426,217.02480505224753,169.1515032717008,200.73900523187018,165.08005331660644
labeled-data,mj_15_51_51_ncb1131-camA,img00208.png,233.3106048726247,161.0086033615122,237.382054827719,167.98823185595955,232.72896916475406,177.29440318188938,228.65751920965965,183.11076026059555,214.1166265128944,170.31477468744202,198.41246240038777,168.56986756383014
labeled-data,mj_15_51_51_ncb1131-camA,img00210.png,225.74934067030665,174.38622464253632,221.0962550073416,181.94748884485426,217.02480505224742,184.2740316763368,212.37171938928248,188.34548163143108,201.32064093974088,177.29440318188938,187.36138395084618,174.38622464253626
labeled-data,mj_15_51_51_ncb1131-camA,img00213.png,211.2084479735413,173.80458893466567,215.86153363650624,183.11076026059555,215.2798979286356,186.01893879994861,207.71863372631765,189.50875304717232,197.2491909846466,180.2025817212425,183.8715697036224,177.87603888975997
labeled-data,mj_15_51_51_ncb1131-camA,img00220.png,175.72866979343382,181.94748884485432,175.14703408556318,185.43730309207797,177.47357691704565,187.76384592356044,175.14703408556318,191.83529587865473,159.4428699730566,182.5291245527249,144.32034156842064,185.43730309207797
labeled-data,mj_15_51_51_ncb1131-camA,img00223.png,,,,,,,,,146.06524869203247,186.6005745078192,133.26926311887894,181.94748884485432
