scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_17_41_11_ncb1280-R-camA,img00812.png,,,,,,,135.5958059503614,211.02927423838503,113.49364905127806,207.53945999116138,95.462942107289,212.77418136199688
labeled-data,mj_17_41_11_ncb1280-R-camA,img00813.png,,,,,,,133.26926311887894,212.19254565412626,111.16710621979558,209.86600282264382,97.78948493877147,213.93745277773812
labeled-data,mj_17_41_11_ncb1280-R-camA,img00815.png,,,,,,,133.85089882674959,211.02927423838503,116.98346329850176,209.2843671147732,103.60584201747764,209.86600282264382
labeled-data,mj_17_41_11_ncb1280-R-camA,img00816.png,,,,,,,136.17744165823206,213.93745277773812,115.82019188276053,209.86600282264382,100.11602777025394,209.86600282264382
labeled-data,mj_17_41_11_ncb1280-R-camA,img00818.png,,,,,,,137.92234878184388,212.77418136199688,119.31000612998423,210.44763853051444,103.60584201747764,211.61090994625565
labeled-data,mj_17_41_11_ncb1280-R-camA,img00819.png,,,,,,,135.01417024249082,211.02927423838503,115.82019188276053,211.61090994625565,100.11602777025394,213.3558170698675
labeled-data,mj_17_41_11_ncb1280-R-camA,img00820.png,,,,,,,136.75907736610264,213.3558170698675,119.31000612998423,211.02927423838503,103.024206309607,211.02927423838503
labeled-data,mj_17_41_11_ncb1280-R-camA,img00822.png,,,,,,,139.6672559054557,211.02927423838503,121.05491325359606,209.86600282264382,107.09565626470129,209.86600282264382
labeled-data,mj_17_41_11_ncb1280-R-camA,img00824.png,,,,,,,137.34071307397323,211.02927423838503,118.72837042211358,208.70273140690256,107.67729197257194,208.70273140690256
labeled-data,mj_17_41_11_ncb1280-R-camA,img01812.png,245.5249547379076,113.31447531612179,257.7393046031905,117.96756097908667,255.412761771708,125.52882518140467,244.94331903003695,138.3248107545582,232.72896916475406,127.27373230501655,215.2798979286356,132.50845367585208
